percentile,year,variable_code,value
p99p100,1933,sptinc_z_CH,0.1568
p99p100,1934,sptinc_z_CH,0.1556
p99p100,1936,sptinc_z_CH,0.1515
p99p100,1939,sptinc_z_CH,0.1521
p99p100,1941,sptinc_z_CH,0.1427
p99p100,1943,sptinc_z_CH,0.134
p99p100,1945,sptinc_z_CH,0.127
p99p100,1947,sptinc_z_CH,0.118
p99p100,1949,sptinc_z_CH,0.1105
p99p100,1951,sptinc_z_CH,0.1058
p99p100,1953,sptinc_z_CH,0.1038
p99p100,1955,sptinc_z_CH,0.1038
p99p100,1957,sptinc_z_CH,0.1029
p99p100,1959,sptinc_z_CH,0.1025
p99p100,1961,sptinc_z_CH,0.1018
p99p100,1963,sptinc_z_CH,0.1021
p99p100,1965,sptinc_z_CH,0.1011
p99p100,1967,sptinc_z_CH,0.1023
p99p100,1969,sptinc_z_CH,0.1031
p99p100,1971,sptinc_z_CH,0.1009
p99p100,1973,sptinc_z_CH,0.098
p99p100,1975,sptinc_z_CH,0.099
p99p100,1977,sptinc_z_CH,0.0979
p99p100,1979,sptinc_z_CH,0.0981
p99p100,1980,sptinc_z_CH,0.1007
p99p100,1981,sptinc_z_CH,0.1006
p99p100,1982,sptinc_z_CH,0.1035
p99p100,1983,sptinc_z_CH,0.1064
p99p100,1984,sptinc_z_CH,0.1066
p99p100,1985,sptinc_z_CH,0.1064
p99p100,1986,sptinc_z_CH,0.107
p99p100,1987,sptinc_z_CH,0.1074
p99p100,1988,sptinc_z_CH,0.1048
p99p100,1989,sptinc_z_CH,0.1021
p99p100,1990,sptinc_z_CH,0.1015
p99p100,1991,sptinc_z_CH,0.101
p99p100,1992,sptinc_z_CH,0.0991
p99p100,1993,sptinc_z_CH,0.0973
p99p100,1994,sptinc_z_CH,0.0984
p99p100,1995,sptinc_z_CH,0.0993
p99p100,1996,sptinc_z_CH,0.11
p99p100,1997,sptinc_z_CH,0.1148
p99p100,1998,sptinc_z_CH,0.1168
p99p100,1999,sptinc_z_CH,0.1106
p99p100,2000,sptinc_z_CH,0.1147
p99p100,2001,sptinc_z_CH,0.106
p99p100,2002,sptinc_z_CH,0.0947
p99p100,2003,sptinc_z_CH,0.1148
p99p100,2004,sptinc_z_CH,0.1194
p99p100,2005,sptinc_z_CH,0.1293
p99p100,2006,sptinc_z_CH,0.1342
p99p100,2007,sptinc_z_CH,0.1185
p99p100,2008,sptinc_z_CH,0.0996
p99p100,2009,sptinc_z_CH,0.1061
p99p100,2010,sptinc_z_CH,0.1233
p99p100,2011,sptinc_z_CH,0.1243
p99p100,2012,sptinc_z_CH,0.1144
p99p100,2013,sptinc_z_CH,0.1132
p99p100,2014,sptinc_z_CH,0.1132
p99p100,2015,sptinc_z_CH,0.1154
p99p100,2016,sptinc_z_CH,0.1139
p99p100,2017,sptinc_z_CH,0.1093
p99p100,2018,sptinc_z_CH,0.1052
p99p100,2019,sptinc_z_CH,0.1019
p99p100,2020,sptinc_z_CH,0.1019
p99p100,2021,sptinc_z_CH,0.1026
p99p100,2022,sptinc_z_CH,0.1058
p99p100,2023,sptinc_z_CH,0.1033
p99p100,2024,sptinc_z_CH,0.1033
p0p50,1933,sptinc_z_CH,0.2078
p0p50,1934,sptinc_z_CH,0.2074
p0p50,1936,sptinc_z_CH,0.2068
p0p50,1939,sptinc_z_CH,0.2043
p0p50,1941,sptinc_z_CH,0.2072
p0p50,1943,sptinc_z_CH,0.212
